Node,Number of Visits,Relative Importance Score,%
1956,64466,0.00064466,0.064466
1246,63521,0.00063521,0.063521
946,62911,0.00062911,0.062911
17,62157,0.00062157,0.062157
586,60772,0.00060772,0.06077199999999999
2414,59550,0.0005955,0.05955
718,54234,0.00054234,0.054234
947,53982,0.00053982,0.053982
31,52677,0.00052677,0.052676999999999995
351,51547,0.00051547,0.051546999999999996
2098,50613,0.00050613,0.050613000000000005
152,50270,0.0005027,0.05027
698,48209,0.00048209,0.048209
1787,47818,0.00047818,0.047818
1056,47789,0.00047789,0.047789000000000005
1903,47635,0.00047635,0.047635000000000004
1022,47547,0.00047547,0.047547000000000006
558,47517,0.00047517,0.047517000000000004
2377,47168,0.00047168,0.047168
503,47005,0.00047005,0.047005
1511,46967,0.00046967,0.046967
285,46527,0.00046527,0.046527
755,45992,0.00045992,0.045992
983,45544,0.00045544,0.045544
554,45033,0.00045033,0.045033
700,44588,0.00044588,0.044588
3109,44078,0.00044078,0.044078
1227,44013,0.00044013,0.044013000000000004
823,43983,0.00043983,0.043983
3149,43505,0.00043505,0.043504999999999995
261,43083,0.00043083,0.043082999999999996
1036,42735,0.00042735,0.042735
219,42529,0.00042529,0.042529
788,42484,0.00042484,0.042484
731,42428,0.00042428,0.042428
695,41301,0.00041301,0.041301
2064,41288,0.00041288,0.041288000000000005
1842,40804,0.00040804,0.040804
478,40584,0.00040584,0.040583999999999995
942,40552,0.00040552,0.040552
2579,40109,0.00040109,0.040109
2254,39838,0.00039838,0.039838
38,39417,0.00039417,0.039417
3301,39151,0.00039151,0.039151000000000005
1591,39140,0.0003914,0.03914
3551,38937,0.00038937,0.038937
921,38596,0.00038596,0.038596000000000005
3981,38403,0.00038403,0.038403
2059,38354,0.00038354,0.038354
962,38235,0.00038235,0.038235
612,38151,0.00038151,0.038151
2338,38130,0.0003813,0.03813
376,38004,0.00038004,0.038004
2077,37904,0.00037904,0.037904
870,37808,0.00037808,0.037808
852,37652,0.00037652,0.037652
1067,37556,0.00037556,0.037556
1050,37459,0.00037459,0.037459
1021,37270,0.0003727,0.03727
837,37111,0.00037111,0.037111000000000005
1001,37054,0.00037054,0.037054
813,36988,0.00036988,0.036988
2086,36969,0.00036969,0.036969
2194,36586,0.00036586,0.036586
3813,36493,0.00036493,0.036493000000000005
2042,36408,0.00036408,0.036408
491,36195,0.00036195,0.036195
1451,36063,0.00036063,0.036063000000000005
1064,36037,0.00036037,0.036037
3218,36006,0.00036006,0.036005999999999996
2975,35962,0.00035962,0.035962
924,35864,0.00035864,0.035864
2074,35818,0.00035818,0.035817999999999996
1412,35743,0.00035743,0.035743
2214,35729,0.00035729,0.035729000000000004
1575,35690,0.0003569,0.03569
1087,35662,0.00035662,0.035662
1608,35182,0.00035182,0.035182
840,35058,0.00035058,0.035058
5338,34951,0.00034951,0.034950999999999996
260,34770,0.0003477,0.03477
1157,34691,0.00034691,0.034691
2707,34581,0.00034581,0.034581
200,34469,0.00034469,0.034469
4170,34361,0.00034361,0.034361
1860,34328,0.00034328,0.034328
133,34253,0.00034253,0.034253
363,34233,0.00034233,0.034233
1980,34221,0.00034221,0.034221
113,34195,0.00034195,0.034194999999999996
2017,34164,0.00034164,0.034164
513,34067,0.00034067,0.034067
892,34052,0.00034052,0.034052000000000006
108,34024,0.00034024,0.034024
2193,33996,0.00033996,0.033996
2207,33928,0.00033928,0.033928
459,33897,0.00033897,0.033897000000000004
3497,33867,0.00033867,0.033867
3849,33682,0.00033682,0.033682
585,33655,0.00033655,0.033655000000000004
57,33554,0.00033554,0.033554
222,33543,0.00033543,0.033543
1867,33528,0.00033528,0.033527999999999995
1900,33466,0.00033466,0.033466
1800,33415,0.00033415,0.033415
2383,33200,0.000332,0.0332
584,33118,0.00033118,0.033118
1023,32844,0.00032844,0.032844
1688,32820,0.0003282,0.03282
1539,32744,0.00032744,0.032744
940,32707,0.00032707,0.032707
822,32657,0.00032657,0.032657
2652,32653,0.00032653,0.032653
873,32440,0.0003244,0.032440000000000004
132,32389,0.00032389,0.032389
5157,32329,0.00032329,0.032329000000000004
1983,32233,0.00032233,0.032233
5566,32225,0.00032225,0.032225
2322,32169,0.00032169,0.032169
665,31981,0.00031981,0.031981
63,31981,0.00031981,0.031981
2411,31947,0.00031947,0.031946999999999996
2538,31908,0.00031908,0.031908
2060,31897,0.00031897,0.031897
1749,31883,0.00031883,0.031882999999999995
1947,31865,0.00031865,0.031865000000000004
3105,31851,0.00031851,0.031851
114,31831,0.00031831,0.031831
1728,31783,0.00031783,0.031783
918,31598,0.00031598,0.031598
1766,31540,0.0003154,0.031540000000000006
326,31514,0.00031514,0.031514
1509,31387,0.00031387,0.031387
442,31338,0.00031338,0.031338
2440,31223,0.00031223,0.031222999999999997
756,31221,0.00031221,0.031221
2226,31219,0.00031219,0.031219
568,31097,0.00031097,0.031097
2227,31094,0.00031094,0.031094
10,31031,0.00031031,0.031031
2787,30900,0.000309,0.030899999999999997
3166,30892,0.00030892,0.030892000000000003
23,30729,0.00030729,0.030729
881,30631,0.00030631,0.030631000000000002
820,30611,0.00030611,0.030611
1097,30585,0.00030585,0.030584999999999998
2881,30582,0.00030582,0.030581999999999998
4854,30571,0.00030571,0.030571
2563,30555,0.00030555,0.030555
5209,30516,0.00030516,0.030516
2071,30408,0.00030408,0.030407999999999998
2397,30400,0.000304,0.030400000000000003
2061,30361,0.00030361,0.030361
377,30351,0.00030351,0.030351
391,30344,0.00030344,0.030344
158,30343,0.00030343,0.030343
534,30175,0.00030175,0.030175
658,30046,0.00030046,0.030046
2058,30043,0.00030043,0.030043000000000004
2228,29923,0.00029923,0.029922999999999998
1812,29886,0.00029886,0.029886000000000003
520,29826,0.00029826,0.029826000000000002
1217,29798,0.00029798,0.029797999999999998
3002,29699,0.00029699,0.029699000000000003
2218,29687,0.00029687,0.029687
2394,29669,0.00029669,0.029669
2015,29646,0.00029646,0.029646000000000002
255,29630,0.0002963,0.02963
1534,29596,0.00029596,0.029596
894,29533,0.00029533,0.029533
2399,29488,0.00029488,0.029488000000000004
1896,29436,0.00029436,0.029436000000000004
997,29411,0.00029411,0.029411
2184,29343,0.00029343,0.029343
3029,29293,0.00029293,0.029293
1940,29286,0.00029286,0.029286
2362,29282,0.00029282,0.029282
776,29270,0.0002927,0.02927
552,29190,0.0002919,0.02919
2062,29141,0.00029141,0.029140999999999997
1901,29106,0.00029106,0.029106
824,29081,0.00029081,0.029081000000000003
96,29078,0.00029078,0.029077999999999996
541,29077,0.00029077,0.029077
2594,29054,0.00029054,0.029054
262,28959,0.00028959,0.028959
1288,28952,0.00028952,0.028952
32,28851,0.00028851,0.028851
2237,28843,0.00028843,0.028843
2547,28793,0.00028793,0.028793
2385,28756,0.00028756,0.028756
396,28742,0.00028742,0.028741999999999997
1492,28742,0.00028742,0.028741999999999997
3337,28732,0.00028732,0.028731999999999997
759,28696,0.00028696,0.028696
711,28675,0.00028675,0.028675
4402,28649,0.00028649,0.028648999999999997
1313,28612,0.00028612,0.028612000000000002
1669,28605,0.00028605,0.028605
164,28564,0.00028564,0.028564
2354,28522,0.00028522,0.028522
43,28485,0.00028485,0.028485
2875,28452,0.00028452,0.028452
1999,28405,0.00028405,0.028405
77,28343,0.00028343,0.028343
2224,28331,0.00028331,0.028331
710,28287,0.00028287,0.028287
2785,28241,0.00028241,0.028241
1103,28149,0.00028149,0.028149
818,28121,0.00028121,0.028121
1457,28115,0.00028115,0.028114999999999998
1287,28093,0.00028093,0.028093
119,28086,0.00028086,0.028086000000000003
2413,28072,0.00028072,0.028072
1726,28045,0.00028045,0.028045
1428,28014,0.00028014,0.028014
855,27975,0.00027975,0.027975
2209,27937,0.00027937,0.027936999999999997
578,27917,0.00027917,0.027917000000000004
3205,27883,0.00027883,0.027882999999999998
1068,27848,0.00027848,0.027848
2430,27830,0.0002783,0.02783
448,27821,0.00027821,0.027821
2225,27808,0.00027808,0.027808
1376,27795,0.00027795,0.027795
2646,27787,0.00027787,0.027787
1786,27709,0.00027709,0.027709
2344,27688,0.00027688,0.027688
922,27609,0.00027609,0.027608999999999998
3165,27544,0.00027544,0.027544
4845,27526,0.00027526,0.027526
960,27506,0.00027506,0.027506
2236,27474,0.00027474,0.027474
3489,27438,0.00027438,0.027438
2634,27374,0.00027374,0.027374000000000002
725,27364,0.00027364,0.027364000000000003
92,27347,0.00027347,0.027347
1904,27344,0.00027344,0.027344
1330,27284,0.00027284,0.027284
3164,27281,0.00027281,0.027281
2412,27271,0.00027271,0.027271
325,27249,0.00027249,0.027249000000000002
2057,27234,0.00027234,0.027233999999999998
2026,27232,0.00027232,0.027232
2035,27134,0.00027134,0.027134000000000002
1481,27077,0.00027077,0.027076999999999997
3163,27028,0.00027028,0.027028000000000003
3343,26961,0.00026961,0.026961
809,26919,0.00026919,0.026919
241,26772,0.00026772,0.026772
1845,26744,0.00026744,0.026743999999999997
2076,26699,0.00026699,0.026699
2557,26695,0.00026695,0.026695
703,26661,0.00026661,0.026661000000000004
2215,26647,0.00026647,0.026646999999999997
3304,26635,0.00026635,0.026635
2409,26545,0.00026545,0.026545
3212,26515,0.00026515,0.026515000000000004
2516,26507,0.00026507,0.026507
2569,26502,0.00026502,0.026501999999999998
1541,26485,0.00026485,0.026485
1587,26484,0.00026484,0.026484
2063,26393,0.00026393,0.026393
2719,26362,0.00026362,0.026362
3767,26338,0.00026338,0.026338
909,26330,0.0002633,0.02633
3481,26289,0.00026289,0.026289
998,26278,0.00026278,0.026278
5017,26271,0.00026271,0.026271
4587,26259,0.00026259,0.026258999999999998
664,26254,0.00026254,0.026254000000000003
2398,26247,0.00026247,0.026247
1894,26218,0.00026218,0.026217999999999998
2612,26106,0.00026106,0.026106000000000004
1711,26040,0.0002604,0.026039999999999997
808,26034,0.00026034,0.026034
2661,25982,0.00025982,0.025982
1620,25966,0.00025966,0.025966
2868,25955,0.00025955,0.025955
3114,25947,0.00025947,0.025946999999999998
2395,25874,0.00025874,0.025873999999999998
2337,25833,0.00025833,0.025833
3363,25829,0.00025829,0.025828999999999998
5171,25826,0.00025826,0.025826
864,25806,0.00025806,0.025806
660,25804,0.00025804,0.025804
3017,25788,0.00025788,0.025788
3509,25769,0.00025769,0.025768999999999997
4063,25756,0.00025756,0.025756
253,25742,0.00025742,0.025742
2131,25729,0.00025729,0.025729000000000002
629,25697,0.00025697,0.025696999999999998
2163,25674,0.00025674,0.025674
4250,25660,0.0002566,0.02566
3168,25650,0.0002565,0.02565
397,25611,0.00025611,0.025611
3768,25598,0.00025598,0.025598
1070,25588,0.00025588,0.025588
2222,25577,0.00025577,0.025577
693,25521,0.00025521,0.025521000000000002
56,25492,0.00025492,0.025492
826,25487,0.00025487,0.025487
2210,25478,0.00025478,0.025478
295,25470,0.0002547,0.02547
2410,25463,0.00025463,0.025463
2524,25458,0.00025458,0.025458
3617,25446,0.00025446,0.025446000000000003
258,25443,0.00025443,0.025443
1475,25430,0.0002543,0.02543
136,25421,0.00025421,0.025421
1973,25407,0.00025407,0.025407000000000002
1772,25385,0.00025385,0.025385
412,25380,0.0002538,0.02538
637,25376,0.00025376,0.025376000000000003
2122,25354,0.00025354,0.025354
821,25321,0.00025321,0.025321000000000003
2208,25317,0.00025317,0.025317
3167,25306,0.00025306,0.025306
1071,25279,0.00025279,0.025279000000000003
190,25260,0.0002526,0.02526
575,25218,0.00025218,0.025218
906,25199,0.00025199,0.025199
102,25158,0.00025158,0.025158
5941,25138,0.00025138,0.025138
2373,25096,0.00025096,0.025096
2593,25069,0.00025069,0.025068999999999998
1866,25031,0.00025031,0.025031
1061,25029,0.00025029,0.025029000000000003
2206,25024,0.00025024,0.025023999999999998
1524,25012,0.00025012,0.025012
4166,24994,0.00024994,0.024994
2127,24980,0.0002498,0.02498
4159,24973,0.00024973,0.024973
919,24940,0.0002494,0.02494
3344,24938,0.00024938,0.024938000000000002
1327,24921,0.00024921,0.024921
1556,24909,0.00024909,0.024909
5451,24897,0.00024897,0.024897
3789,24885,0.00024885,0.024885
2223,24881,0.00024881,0.024881000000000004
2581,24857,0.00024857,0.024856999999999997
979,24854,0.00024854,0.024854
4304,24854,0.00024854,0.024854
5048,24813,0.00024813,0.024812999999999998
527,24806,0.00024806,0.024805999999999998
5940,24805,0.00024805,0.024804999999999997
2200,24796,0.00024796,0.024796
364,24795,0.00024795,0.024794999999999998
290,24744,0.00024744,0.024744
2595,24742,0.00024742,0.024742
1240,24735,0.00024735,0.024735000000000004
804,24708,0.00024708,0.024708
819,24667,0.00024667,0.024666999999999998
21,24666,0.00024666,0.024666
5086,24661,0.00024661,0.024661000000000002
802,24643,0.00024643,0.024643
789,24638,0.00024638,0.024637999999999997
3568,24632,0.00024632,0.024632
5300,24615,0.00024615,0.024614999999999998
4813,24606,0.00024606,0.024606
64,24601,0.00024601,0.024601
3772,24595,0.00024595,0.024595
393,24589,0.00024589,0.024589000000000003
2552,24586,0.00024586,0.024585999999999997
3336,24557,0.00024557,0.024557000000000002
2773,24556,0.00024556,0.024555999999999998
3003,24554,0.00024554,0.024554
392,24552,0.00024552,0.024552
1418,24551,0.00024551,0.024551
243,24539,0.00024539,0.024539000000000002
828,24538,0.00024538,0.024538
398,24510,0.0002451,0.02451
757,24455,0.00024455,0.024455
1797,24451,0.00024451,0.024450999999999997
106,24426,0.00024426,0.024426
626,24406,0.00024406,0.024406
916,24400,0.000244,0.024399999999999998
1280,24380,0.0002438,0.02438
1898,24379,0.00024379,0.024378999999999998
982,24374,0.00024374,0.024374
587,24358,0.00024358,0.024358
2403,24334,0.00024334,0.024334
3750,24292,0.00024292,0.024292
4540,24234,0.00024234,0.024234
3335,24209,0.00024209,0.024209
2613,24189,0.00024189,0.024189
532,24180,0.0002418,0.02418
468,24179,0.00024179,0.024179
5942,24138,0.00024138,0.024138
418,24132,0.00024132,0.024132
944,24109,0.00024109,0.024109000000000002
1424,24094,0.00024094,0.024094
1199,24088,0.00024088,0.024088000000000002
142,24052,0.00024052,0.024052
522,24032,0.00024032,0.024032
51,23984,0.00023984,0.023984000000000002
2216,23973,0.00023973,0.023973
6039,23966,0.00023966,0.023965999999999998
443,23938,0.00023938,0.023938
1868,23929,0.00023929,0.023929
5254,23917,0.00023917,0.023917
531,23913,0.00023913,0.023913
2543,23901,0.00023901,0.023901
2400,23859,0.00023859,0.023859
3136,23851,0.00023851,0.023851
2016,23781,0.00023781,0.023781
898,23768,0.00023768,0.023767999999999997
1144,23768,0.00023768,0.023767999999999997
1535,23744,0.00023744,0.023744
2645,23720,0.0002372,0.023719999999999998
4539,23711,0.00023711,0.023711000000000003
2415,23654,0.00023654,0.023654
1297,23616,0.00023616,0.023615999999999998
4227,23594,0.00023594,0.023594
395,23589,0.00023589,0.023589
394,23571,0.00023571,0.023571
736,23557,0.00023557,0.023556999999999998
2259,23554,0.00023554,0.023554000000000002
1840,23521,0.00023521,0.023521
1143,23520,0.0002352,0.02352
1899,23497,0.00023497,0.023497
4317,23471,0.00023471,0.023471000000000002
1644,23454,0.00023454,0.023454
3677,23437,0.00023437,0.023437
2075,23413,0.00023413,0.023413
1454,23390,0.0002339,0.02339
2500,23374,0.00023374,0.023374
814,23334,0.00023334,0.023334
510,23332,0.00023332,0.023332
1476,23317,0.00023317,0.023316999999999997
740,23307,0.00023307,0.023306999999999998
3563,23232,0.00023232,0.023232
706,23231,0.00023231,0.023231
3370,23231,0.00023231,0.023231
810,23227,0.00023227,0.023227
4491,23221,0.00023221,0.023221
900,23204,0.00023204,0.023204000000000002
696,23199,0.00023199,0.023199
1902,23182,0.00023182,0.023182
296,23141,0.00023141,0.023141000000000002
1670,23128,0.00023128,0.023128
5407,23125,0.00023125,0.023125
3491,23124,0.00023124,0.023124
1936,23109,0.00023109,0.023109
2396,23096,0.00023096,0.023096
5428,23092,0.00023092,0.023091999999999998
3066,23084,0.00023084,0.023084
62,23080,0.0002308,0.02308
3243,23079,0.00023079,0.023079
914,23075,0.00023075,0.023075
1837,23061,0.00023061,0.023060999999999998
1085,23059,0.00023059,0.023059
1349,22992,0.00022992,0.022992
2360,22976,0.00022976,0.022976
1219,22921,0.00022921,0.022921
2213,22904,0.00022904,0.022903999999999997
1115,22898,0.00022898,0.022897999999999998
183,22894,0.00022894,0.022893999999999998
4273,22892,0.00022892,0.022892
3822,22872,0.00022872,0.022872
1911,22847,0.00022847,0.022847000000000003
3220,22814,0.00022814,0.022814
2729,22793,0.00022793,0.022793
4855,22778,0.00022778,0.022778
1444,22771,0.00022771,0.022771
2968,22770,0.0002277,0.022770000000000002
1233,22766,0.00022766,0.022766
3995,22739,0.00022739,0.022739
2089,22724,0.00022724,0.022724
604,22723,0.00022723,0.022723
1394,22713,0.00022713,0.022713
4986,22701,0.00022701,0.022701000000000002
5283,22701,0.00022701,0.022701000000000002
3169,22680,0.0002268,0.022680000000000002
2713,22655,0.00022655,0.022655
3715,22638,0.00022638,0.022638000000000002
690,22632,0.00022632,0.022632
1339,22628,0.00022628,0.022628000000000002
995,22622,0.00022622,0.022622
1402,22607,0.00022607,0.022607000000000002
2358,22600,0.000226,0.0226
3113,22538,0.00022538,0.022538
1540,22532,0.00022532,0.022532
1456,22501,0.00022501,0.022501
289,22500,0.000225,0.0225
1501,22484,0.00022484,0.022484
5105,22471,0.00022471,0.022471
1606,22443,0.00022443,0.022442999999999998
2078,22438,0.00022438,0.022438
3960,22426,0.00022426,0.022426
2916,22401,0.00022401,0.022401
1342,22389,0.00022389,0.022389
4415,22343,0.00022343,0.022343
1350,22327,0.00022327,0.022327
712,22308,0.00022308,0.022308
5483,22294,0.00022294,0.022294
969,22286,0.00022286,0.022286
889,22277,0.00022277,0.022277
3808,22254,0.00022254,0.022254
850,22250,0.0002225,0.02225
2961,22250,0.0002225,0.02225
1347,22243,0.00022243,0.022243
50,22240,0.0002224,0.022240000000000003
3781,22238,0.00022238,0.022238
5091,22231,0.00022231,0.022231
1487,22228,0.00022228,0.022227999999999998
1897,22221,0.00022221,0.022221
1890,22217,0.00022217,0.022217
3862,22204,0.00022204,0.022204
1054,22152,0.00022152,0.022152
2211,22144,0.00022144,0.022144
1332,22113,0.00022113,0.022113
5437,22110,0.0002211,0.02211
2401,22109,0.00022109,0.022109
2789,22083,0.00022083,0.022083000000000002
3456,22071,0.00022071,0.022071
1048,22065,0.00022065,0.022065
835,22047,0.00022047,0.022047
2393,22045,0.00022045,0.022045
1895,22041,0.00022041,0.022041
309,22021,0.00022021,0.022021000000000002
1906,22010,0.0002201,0.022010000000000002
2146,21992,0.00021992,0.021992
4173,21987,0.00021987,0.021987
1881,21982,0.00021982,0.021981999999999998
2774,21975,0.00021975,0.021975
228,21974,0.00021974,0.021974
2090,21950,0.0002195,0.02195
3681,21948,0.00021948,0.021948000000000002
282,21939,0.00021939,0.021939
1072,21923,0.00021923,0.021923
2212,21901,0.00021901,0.021901
955,21900,0.000219,0.021900000000000003
4733,21900,0.000219,0.021900000000000003
1090,21894,0.00021894,0.021894
215,21879,0.00021879,0.021879000000000003
2938,21861,0.00021861,0.021861
778,21858,0.00021858,0.021858000000000002
227,21854,0.00021854,0.021854000000000002
2014,21844,0.00021844,0.021844
2158,21817,0.00021817,0.021817
2973,21808,0.00021808,0.021808
2402,21778,0.00021778,0.021778
1333,21767,0.00021767,0.021766999999999998
1132,21744,0.00021744,0.021744
1441,21734,0.00021734,0.021734
1047,21731,0.00021731,0.021731
3669,21731,0.00021731,0.021731
451,21719,0.00021719,0.021719
5168,21708,0.00021708,0.021708
256,21680,0.0002168,0.02168
5096,21680,0.0002168,0.02168
4706,21669,0.00021669,0.021668999999999997
4793,21664,0.00021664,0.021664000000000003
2073,21659,0.00021659,0.021659
2304,21651,0.00021651,0.021651
4966,21625,0.00021625,0.021625
1928,21595,0.00021595,0.021595
4180,21594,0.00021594,0.021594
1425,21586,0.00021586,0.021586
4781,21570,0.0002157,0.021570000000000002
1741,21555,0.00021555,0.021555
3488,21538,0.00021538,0.021537999999999998
1595,21532,0.00021532,0.021532
5584,21511,0.00021511,0.021511
1137,21499,0.00021499,0.021499
917,21496,0.00021496,0.021495999999999998
2493,21492,0.00021492,0.021492
477,21480,0.0002148,0.02148
6087,21468,0.00021468,0.021468
1123,21460,0.0002146,0.02146
4570,21452,0.00021452,0.021452
1044,21434,0.00021434,0.021434
110,21426,0.00021426,0.021426
2448,21422,0.00021422,0.021422
920,21401,0.00021401,0.021401
3362,21400,0.000214,0.0214
117,21393,0.00021393,0.021393000000000002
4943,21390,0.0002139,0.02139
915,21386,0.00021386,0.021386
1954,21370,0.0002137,0.02137
5381,21350,0.0002135,0.02135
2038,21337,0.00021337,0.021337
1516,21336,0.00021336,0.021336
1212,21330,0.0002133,0.021330000000000002
2186,21321,0.00021321,0.021321
455,21320,0.0002132,0.021320000000000002
2974,21312,0.00021312,0.021311999999999998
5325,21296,0.00021296,0.021296
1069,21294,0.00021294,0.021294
5672,21288,0.00021288,0.021288
2407,21272,0.00021272,0.021272
257,21261,0.00021261,0.021261000000000002
2031,21245,0.00021245,0.021245
2600,21237,0.00021237,0.021237
2007,21226,0.00021226,0.021226000000000002
2072,21215,0.00021215,0.021215
2392,21199,0.00021199,0.021199000000000003
2443,21194,0.00021194,0.021194
4844,21179,0.00021179,0.021179
432,21168,0.00021168,0.021168
4435,21165,0.00021165,0.021165
5890,21161,0.00021161,0.021161
2039,21156,0.00021156,0.021155999999999998
476,21151,0.00021151,0.021151
1730,21146,0.00021146,0.021146
3907,21146,0.00021146,0.021146
2119,21126,0.00021126,0.021126
3480,21097,0.00021097,0.021096999999999998
2658,21087,0.00021087,0.021086999999999998
683,21073,0.00021073,0.021073
1258,21057,0.00021057,0.021057000000000003
2583,21056,0.00021056,0.021056
5278,21037,0.00021037,0.021037
1034,21036,0.00021036,0.021036000000000003
803,21025,0.00021025,0.021025
1923,21005,0.00021005,0.021005
1073,21003,0.00021003,0.021003
1389,21001,0.00021001,0.021001
2070,20979,0.00020979,0.020979
3096,20978,0.00020978,0.020978
1383,20966,0.00020966,0.020966
2201,20939,0.00020939,0.020939
4371,20936,0.00020936,0.020936
1458,20931,0.00020931,0.020930999999999998
1798,20920,0.0002092,0.020919999999999998
5316,20905,0.00020905,0.020905
1255,20899,0.00020899,0.020898999999999997
163,20882,0.00020882,0.020882
5140,20877,0.00020877,0.020877
1907,20863,0.00020863,0.020863
1228,20860,0.0002086,0.02086
2281,20859,0.00020859,0.020859
3894,20859,0.00020859,0.020859
2578,20845,0.00020845,0.020845
356,20836,0.00020836,0.020836
2285,20835,0.00020835,0.020835
202,20825,0.00020825,0.020825
1084,20817,0.00020817,0.020817000000000002
2272,20810,0.0002081,0.02081
4641,20806,0.00020806,0.020806
5552,20802,0.00020802,0.020802
1573,20789,0.00020789,0.020789
6091,20788,0.00020788,0.020788
645,20783,0.00020783,0.020783
4185,20777,0.00020777,0.020777
199,20759,0.00020759,0.020759
1673,20756,0.00020756,0.020756
1030,20749,0.00020749,0.020749
2232,20742,0.00020742,0.020742
550,20739,0.00020739,0.020739
5858,20736,0.00020736,0.020736
5754,20726,0.00020726,0.020725999999999998
4105,20725,0.00020725,0.020725
3476,20719,0.00020719,0.020719
3987,20697,0.00020697,0.020697
2580,20683,0.00020683,0.020683
583,20671,0.00020671,0.020671000000000002
2948,20645,0.00020645,0.020645
2188,20644,0.00020644,0.020644000000000003
1129,20642,0.00020642,0.020642
1074,20624,0.00020624,0.020624
3619,20617,0.00020617,0.020617
1905,20603,0.00020603,0.020603
3138,20599,0.00020599,0.020599
6237,20585,0.00020585,0.020585
2067,20548,0.00020548,0.020548
1168,20536,0.00020536,0.020536
2081,20516,0.00020516,0.020516
5380,20516,0.00020516,0.020516
3054,20512,0.00020512,0.020512
6179,20512,0.00020512,0.020512
452,20503,0.00020503,0.020503
5474,20494,0.00020494,0.020494
330,20484,0.00020484,0.020484
563,20438,0.00020438,0.020437999999999998
2907,20435,0.00020435,0.020435000000000002
5604,20435,0.00020435,0.020435000000000002
3147,20424,0.00020424,0.020424
1461,20422,0.00020422,0.020422
2079,20421,0.00020421,0.020420999999999998
2451,20421,0.00020421,0.020420999999999998
3376,20418,0.00020418,0.020418
3590,20405,0.00020405,0.020405
1656,20400,0.000204,0.0204
385,20400,0.000204,0.0204
2630,20381,0.00020381,0.020381
815,20377,0.00020377,0.020377
621,20344,0.00020344,0.020343999999999998
2836,20338,0.00020338,0.020338
529,20336,0.00020336,0.020336
3888,20334,0.00020334,0.020333999999999998
4797,20328,0.00020328,0.020328
2267,20326,0.00020326,0.020326
1027,20322,0.00020322,0.020322
2690,20312,0.00020312,0.020312
3460,20305,0.00020305,0.020305
1955,20298,0.00020298,0.020298
685,20294,0.00020294,0.020294
1968,20293,0.00020293,0.020293000000000002
5577,20281,0.00020281,0.020281
2025,20275,0.00020275,0.020274999999999998
167,20275,0.00020275,0.020274999999999998
1570,20264,0.00020264,0.020264
4678,20256,0.00020256,0.020256
2519,20246,0.00020246,0.020246
2359,20245,0.00020245,0.020245
6040,20244,0.00020244,0.020243999999999998
2625,20237,0.00020237,0.020237
5525,20191,0.00020191,0.020191
732,20189,0.00020189,0.020189000000000002
2517,20158,0.00020158,0.020158
1915,20157,0.00020157,0.020157
2148,20155,0.00020155,0.020155
1792,20153,0.00020153,0.020153
3680,20134,0.00020134,0.020134
2862,20126,0.00020126,0.020126
1531,20123,0.00020123,0.020123
2408,20120,0.0002012,0.020120000000000002
2114,20097,0.00020097,0.020097
1329,20073,0.00020073,0.020073
3158,20057,0.00020057,0.020057000000000002
1321,20056,0.00020056,0.020055999999999997
3141,20046,0.00020046,0.020045999999999998
